internalId	masterId	rowNr	rowId	PayMode	Comment	CreditCard	Plan	AuthorizationCode	ChequeNr	BatchNr	Paid	Installments
Taxes
internalId	masterId	rowNr	rowId	TaxCode	Amount

\N	\N	\N	\N	\N	2018-11-22	15:13:12	1	\N	CJ01	\N	0	Arturo	\N	\N	\N	\N	False	\N	1	\N	GS	\N	\N	\N	\N	\N	3900.0	1.0	CXXXX	Cliente Mostrador	Arturo	SALON	\N	1	2018-11-22	2018-11-22	\N	CONT	AYOLAS	AYOLAS	8	Misiones	py		1	Asunción	\N	\N	\N	\N	True	CC	\N	\N			\N		\N				\N	\N	\N	\N	\N	\N	\N	L1G	DIPLO	\N	\N	\N	\N	es	\N	\N	\N	\N	0	\N	\N	100.0	1654641.0	0.0	165459.0	1820100.0	1654641.0	1820100.0	True	\N	\N	\N	CXXXX	CONT	1	\N	\N	0	\N	0	\N	0.0	\N	\N	\N	\N	False	\N	\N	\N	\N	\N

\N	\N	66	\N	7896383074041	PASTILLAS SABOR CHOCOLATE FORMA CORAZON COLORETI FESTA 324G	\N	\N	1.0	\N	17273.0	\N	19000.0	0.0	19000.0	\N	10	UNI	17273.0	\N	\N	\N	0.0	\N	\N	\N	0.0	100.0	17273.0	\N	\N	\N	\N	\N
\N	\N	67	\N	7896383072894	DUCREM SMILE SABOR AVELLANA 450G	\N	\N	1.0	\N	13636.0	\N	15000.0	0.0	15000.0	\N	10	UNI	13636.0	\N	\N	\N	0.0	\N	\N	\N	0.0	100.0	13636.0	\N	\N	\N	\N	\N
\N	\N	68	\N	6920552105616	MINI CHICLE PRINCESA C/TATUAJE 	\N	\N	1.0	\N	22727.0	\N	25000.0	0.0	25000.0	\N	10	UNI	22727.0	\N	\N	\N	0.0	\N	\N	\N	0.0	100.0	22727.0	\N	\N	\N	\N	\N
\N	\N	69	\N	6920552105555	MINI CHICLE CON TATUAJE ZIC ZAC BEN 10 24PZAS	\N	\N	1.0	\N	22727.0	\N	25000.0	0.0	25000.0	\N	10	UNI	22727.0	\N	\N	\N	0.0	\N	\N	\N	0.0	100.0	22727.0	\N	\N	\N	\N	\N
\N	\N	70	\N	6920552105579	MINI CHICLE CON TATUAJE ZIC ZAC DRAGON BALL 24PZAS 	\N	\N	1.0	\N	22727.0	\N	25000.0	0.0	25000.0	\N	10	UNI	22727.0	\N	\N	\N	0.0	\N	\N	\N	0.0	100.0	22727.0	\N	\N	\N	\N	\N
\N	\N	71	\N	603554060522	CHOCO CRUNCH CONO 20PZAS	\N	\N	1.0	\N	22727.0	\N	25000.0	0.0	25000.0	\N	10	UNI	22727.0	\N	\N	\N	0.0	\N	\N	\N	0.0	100.0	22727.0	\N	\N	\N	\N	\N
\N	\N	72	\N	603554060522	CHOCO CRUNCH CONO 20PZAS	\N	\N	1.0	\N	22727.0	\N	25000.0	0.0	25000.0	\N	10	UNI	22727.0	\N	\N	\N	0.0	\N	\N	\N	0.0	100.0	22727.0	\N	\N	\N	\N	\N
\N	\N	73	\N	7790580119164	BON O BON 105G	\N	\N	1.0	\N	7727.0	\N	8500.0	0.0	8500.0	\N	10	UNI	7727.0	\N	\N	\N	0.0	\N	\N	\N	0.0	100.0	7727.0	\N	\N	\N	\N	\N
\N	\N	74	\N	7896969410454	NUCITA NAPOLITANO BIG 12UNI	\N	\N	1.0	\N	11818.0	\N	13000.0	0.0	13000.0	\N	10	UNI	11818.0	\N	\N	\N	0.0	\N	\N	\N	0.0	100.0	11818.0	\N	\N	\N	\N	\N
\N	\N	75	\N	6914849040155	CHOCOLATE+BISCUIT CHOCOBOM 100PZAS	\N	\N	1.0	\N	25455.0	\N	28000.0	0.0	28000.0	\N	10	UNI	25455.0	\N	\N	\N	0.0	\N	\N	\N	0.0	100.0	25455.0	\N	\N	\N	\N	\N
\N	\N	76	\N	7896969410256	NUCITA SURTIDO 48UNI	\N	\N	1.0	\N	17727.0	\N	19500.0	0.0	19500.0	\N	10	UNI	17727.0	\N	\N	\N	0.0	\N	\N	\N	0.0	100.0	17727.0	\N	\N	\N	\N	\N
\N	\N	77	\N	7861008522511	CHICLE SABOR TUTTI-FRUTTI AGOGO X10 15UNI	\N	\N	1.0	\N	16364.0	\N	18000.0	0.0	18000.0	\N	10	UNI	16364.0	\N	\N	\N	0.0	\N	\N	\N	0.0	100.0	16364.0	\N	\N	\N	\N	\N
